episode,action
0,"[127.374466,2.470717,113.810394,10.628639,0.90897846,69.200455,6.9636426,143.78412,10.180172,0.18827021,7.7269444,]"
1,"[,63.45803,5.304575,127.02834,10.464071,0.32510966,46.034622,6.9560466,25.312637,6.6147118,0.30415472,8.8087225,]"
2,"[116.573944,2.263329,71.66026,8.07811,0.8269315,39.42391,2.5187788,119.18535,7.8858743,0.7878069,6.4764824]"
3,"[96.36483,6.8140917,71.44624,11.667612,0.9207038,47.486717,4.0274835,33.285213,10.727275,0.20439601,8.605176,]"
4,"[145.14214,3.7977579,109.463264,11.310102,0.647606,79.83352,4.1735864,74.142914,14.171152,0.57031125,6.025651,]"
5,"[133.33014,6.8380404,113.97388,10.134035,0.9163271,61.319855,4.513678,35.031487,11.13851,0.96959853,8.614324,]"
6,"[,49.970634,3.1308508,111.0313,5.6989107,0.8740804,80.07732,1.051959,43.62019,14.29672,0.7023034,5.0800915]"
7,"[146.81299,5.336099,141.6697,11.878387,0.960039,50.380367,3.6678524,140.40245,10.907679,0.29545146,7.2511425,]"
8,"[118.51243,4.9670672,86.10704,11.040641,0.3729738,85.61096,6.103603,143.9246,10.823263,0.40324676,4.48942,]"
9,"[124.82023,3.9495656,118.42201,9.471879,0.18552166,45.583984,1.0001862,101.97605,13.018366,0.4581273,7.635015,]"
10,"[1.26576584e+02,5.15437889e+00,1.33764328e+02,1.22746544e+01,1.06246740e-01,6.76519318e+01,3.26781583e+00,1.33507507e+02,1.17447910e+01,2.80075550e-01,5.41815758e+00]"
11,"[7.0930161e+01,5.7900777e+00,1.1474517e+02,8.1856413e+00,1.1472273e-01,9.4705597e+01,6.8275080e+00,1.0129839e+02,1.2682545e+01,9.9341452e-01,4.4725447e+00]"
12,"[142.21295,1.2724226,134.30081,10.183015,0.21440107,60.04444,1.6944265,145.88217,12.643601,0.19535309,5.38365,]"
13,"[145.7224,6.1720138,144.98245,11.401313,0.7832729,51.089504,6.9651756,82.95049,12.90066,0.9855522,7.1771855]"
14,"[101.31447,1.2098508,81.685646,8.649802,0.14490947,55.347946,6.6288447,123.13209,13.178472,0.63486665,8.321496,]"
15,"[1.15687050e+02,2.24482298e+00,1.32248917e+02,1.14002609e+01,1.00759596e-01,4.33816376e+01,6.90466452e+00,1.26512589e+02,1.04064360e+01,9.73804235e-01,8.77030373e+00]"
16,"[1.4489952e+02,6.0146980e+00,8.1095535e+01,6.7826452e+00,1.0806319e-01,5.6202343e+01,1.8719587e+00,9.4531464e+01,1.0959977e+01,2.8044438e-01,4.3167863e+00]"
17,"[145.96457,3.8923547,141.93233,10.925848,0.9880102,69.43312,1.0001628,103.08622,13.939133,0.6081771,6.450726,]"
18,"[140.72887,2.0916197,133.99982,10.259232,0.69426954,52.897118,1.0160966,148.60059,11.074532,0.80817854,5.9996758,]"
19,"[138.90231,6.9459686,142.79094,12.666642,0.6126094,36.05829,6.950344,85.747406,12.95186,0.5552718,8.040453,]"
20,"[7.02913208e+01,3.05684471e+00,1.17146034e+02,8.30437279e+00,6.46538675e-01,3.88160934e+01,3.03007698e+00,1.45380615e+02,1.45632496e+01,1.05463386e-01,8.97431564e+00]"
21,"[,86.88891,2.116123,127.99019,10.666386,0.67746794,45.8125,1.0680208,148.68256,13.002556,0.91261494,4.1918063,]"
22,"[1.4582474e+02,1.2251203e+00,1.4787875e+02,1.2969734e+01,1.0067871e-01,4.9807095e+01,1.2812250e+00,4.7173836e+01,1.3573780e+01,1.6079661e-01,6.3195953e+00]"
23,"[1.4493565e+02,6.8174739e+00,1.4526538e+02,1.1669122e+01,1.2969413e-01,5.3260933e+01,6.9999552e+00,1.4103304e+02,1.2392805e+01,1.1134234e-01,5.3078699e+00]"
24,"[,88.6161,1.5446417,123.61832,10.854104,0.23319533,98.961296,1.0010476,136.89948,13.2605505,0.41825727,5.477855,]"
25,"[146.90987,5.106926,131.32654,11.526155,0.2159178,39.87434,7.,85.88878,10.379061,0.56229705,7.447848,]"
26,"[91.82651,3.9074786,70.12182,9.523251,0.6142546,95.93552,1.1011033,64.877556,9.388978,0.23845091,6.027763,]"
27,"[144.59644,6.2444625,138.12888,12.509017,0.9845098,57.668983,1.0006819,144.61389,10.924015,0.35455722,4.308738,]"
28,"[1.45984924e+02,2.49132419e+00,1.44758209e+02,1.34340534e+01,1.10136479e-01,3.60641174e+01,7.00000000e+00,1.43631439e+01,1.25418081e+01,1.04772866e-01,5.34418297e+00]"
29,"[1.28751434e+02,5.19107294e+00,1.39110443e+02,1.02886190e+01,1.00158185e-01,5.90466690e+01,1.89591694e+00,1.43684677e+02,8.24331379e+00,9.48650897e-01,5.33839130e+00]"
30,"[141.57983,2.8584676,147.1376,8.476185,0.3180531,53.57698,6.9385786,125.367096,8.603309,0.75578475,7.7535095,]"
31,"[,45.586784,4.6634865,122.82155,13.479957,0.6418769,124.02442,6.645788,139.32602,7.3166656,0.71566904,6.663902,]"
