episode,state
0,"[87.0097988, 89.3687198]"
1,"[51.9557801, 52.5786239]"
2,"[167.318752, 171.926007]"
3,"[165.064319, 163.57585]"
4,"[74.0926557, 164.85128]"
5,"[183.452564, 167.048621]"
6,"[207.057366, 204.03969]"
7,"[207.551045, 269.879205]"
8,"[202.558894, 201.688844]"
9,"[192.446268, 428.590493]"
10,"[73.8093935, 89.9327408]"
11,"[48.2498384, 48.3054179]"
12,"[195.387352, 168.265541]"
13,"[128.161197, 289.307695]"
14,"[46.2126332, 46.7686431]"
15,"[60.8998585, 52.05882]"
16,"[56.0183375, 87.1708035]"
17,"[214.31107, 210.968831]"
18,"[76.2747691, 76.7264629]"
19,"[103.453517, 95.5663511]"
20,"[126.137132, 125.476495]"
21,"[106.994944, 102.958143]"
22,"[165.088144, 357.907013]"
23,"[202.661821, 401.447439]"
24,"[78.7672087, 170.370331]"
25,"[167.66957, 175.79553]"
26,"[205.80871, 209.15614]"
27,"[212.747906, 201.171413]"
28,"[200.928896, 205.410125]"
29,"[136.049558, 256.671778]"
30,"[46.8776709, 98.1384382]"
31,"[41.1416911, 77.0817068]"
32,"[95.0297566, 166.014751]"
33,"[54.8818047, 57.1065903]"
34,"[176.966871, 160.324723]"
35,"[206.421224, 446.079975]"
36,"[205.290025, 196.534281]"
37,"[205.867731, 205.984629]"
38,"[73.148038, 78.3922681]"
39,"[51.6318613, 48.0382129]"
40,"[49.4562001, 69.1265197]"
41,"[59.2680116, 88.2302442]"
42,"[55.8778773, 39.5627696]"
43,"[181.746012, 197.195701]"
44,"[199.963219, 196.776585]"
45,"[205.541681, 442.753901]"
46,"[73.0886192, 81.5844738]"
47,"[280.42172, 155.44779]"
48,"[78.4901942, 166.051115]"
49,"[40.2868152, 40.3749582]"
50,"[45.0692253, 45.9295092]"
51,"[377.8801, 174.28281]"
52,"[446.15246, 204.724759]"
53,"[446.736983, 205.628441]"
54,"[446.73681, 205.628344]"
55,"[158.104801, 157.656186]"
56,"[106.733012, 59.1284817]"
57,"[46.0654416, 47.2221319]"
58,"[273.348247, 175.606009]"
59,"[179.737247, 136.654868]"
60,"[171.549731, 127.397846]"
61,"[63.3466997, 48.9104993]"
62,"[120.723104, 116.608889]"
63,"[89.3779252, 154.885828]"
64,"[55.9185455, 50.8407414]"
65,"[186.731604, 200.247607]"
66,"[110.427459, 136.430641]"
67,"[200.072349, 142.094487]"
68,"[88.672752, 83.4468935]"
69,"[138.364325, 138.907861]"
70,"[107.917974, 105.193509]"
71,"[52.9312756, 52.3271745]"
72,"[167.486116, 105.997941]"
73,"[68.25998, 100.86831]"
74,"[53.2281886, 104.152579]"
75,"[162.048792, 113.952332]"
76,"[58.4490609, 60.5585311]"
77,"[71.3502086, 73.7600345]"
78,"[54.826011, 54.5764637]"
79,"[61.8577908, 46.0210671]"
80,"[80.9759225, 86.2759534]"
81,"[59.1269073, 61.9072331]"
82,"[65.8115058, 106.074191]"
83,"[119.610859, 78.1188028]"
84,"[59.8116133, 89.9718776]"
85,"[84.819206, 90.0316925]"
86,"[52.270943, 104.917119]"
87,"[110.538108, 61.8415837]"
88,"[185.714588, 208.532989]"
89,"[76.8811398, 116.510886]"
90,"[290.776035, 200.759003]"
91,"[140.036642, 260.074712]"
92,"[52.3700647, 56.7258286]"
93,"[49.9969236, 42.8713218]"
94,"[53.6308196, 91.2438254]"
95,"[311.304394, 150.251681]"
96,"[121.198567, 224.471902]"
97,"[100.71158, 135.905382]"
98,"[99.8520177, 91.5372022]"
99,"[142.752815, 143.347437]"
100,"[138.46413, 227.908124]"
101,"[130.285396, 113.043879]"
102,"[118.463796, 117.180027]"
103,"[78.9898415, 81.0483821]"
104,"[180.180075, 152.816015]"
105,"[56.5301105, 59.9247748]"
106,"[165.619573, 155.365464]"
107,"[202.576113, 154.092798]"
108,"[179.816695, 159.23993]"
109,"[198.133796, 201.865665]"
110,"[169.945273, 178.494135]"
111,"[81.6384283, 90.8590089]"
112,"[153.093446, 144.663217]"
113,"[228.439331, 179.388995]"
114,"[261.405096, 184.710615]"
115,"[139.267993, 157.961951]"
116,"[56.2504455, 53.1129507]"
117,"[121.363662, 112.999566]"
118,"[126.255246, 109.155901]"
119,"[68.156823, 66.9956113]"
120,"[118.611311, 149.954645]"
121,"[186.165998, 109.482963]"
122,"[159.007165, 116.176773]"
123,"[145.69937, 123.022255]"
124,"[93.9904981, 116.605413]"
125,"[73.4491018, 74.9383713]"
126,"[66.6391433, 111.094224]"
127,"[50.6141974, 52.3914136]"
128,"[80.6267332, 89.5183987]"
129,"[217.899263, 182.57649]"
130,"[152.59586, 84.3746778]"
131,"[63.8759871, 86.035067]"
132,"[141.152203, 137.351185]"
133,"[198.761956, 172.413815]"
134,"[93.2815366, 99.3415877]"
135,"[62.3598411, 68.6160153]"
136,"[53.7593535, 53.1946367]"
137,"[51.6817823, 54.6533128]"
138,"[109.839434, 87.4941502]"
139,"[59.9607058, 57.9183499]"
140,"[171.379398, 185.505075]"
141,"[114.444606, 80.4900062]"
142,"[90.7756726, 88.9885183]"
143,"[59.0077626, 59.4333233]"
144,"[143.766139, 135.454111]"
145,"[211.237694, 325.155475]"
146,"[140.948283, 278.447426]"
147,"[78.6787806, 75.1269016]"
148,"[55.1602638, 50.4957294]"
149,"[74.5328771, 77.7211344]"
150,"[202.249041, 245.546331]"
151,"[98.172105, 97.802113]"
152,"[55.1004701, 79.7179932]"
153,"[70.1309545, 139.348247]"
154,"[49.8773901, 58.3163133]"
155,"[55.2564231, 59.778485]"
156,"[124.659825, 107.138354]"
157,"[52.5942744, 81.3881684]"
158,"[50.2297581, 48.1762901]"
159,"[49.4564575, 82.6164683]"
160,"[196.845055, 113.200722]"
161,"[179.760999, 142.521065]"
162,"[94.0708952, 94.8643119]"
163,"[198.551456, 202.955014]"
164,"[94.8098377, 98.7120786]"
165,"[57.7230075, 58.7722031]"
166,"[147.576262, 267.361024]"
167,"[179.218975, 96.8198114]"
168,"[58.6168585, 96.5552229]"
169,"[49.0315209, 45.920232]"
170,"[66.1268314, 65.6552748]"
171,"[68.8599944, 74.8567083]"
172,"[75.4650214, 75.6669959]"
173,"[132.560247, 100.932349]"
174,"[51.0576105, 49.2329079]"
175,"[152.421405, 173.263853]"
176,"[129.494388, 116.633303]"
177,"[110.541706, 120.094333]"
178,"[191.420065, 135.226376]"
179,"[125.787591, 195.104823]"
180,"[57.0076579, 60.8225001]"
181,"[60.3248664, 58.869348]"
182,"[153.986757, 199.088189]"
183,"[141.378568, 81.4554481]"
184,"[42.5644567, 44.7738512]"
185,"[150.002624, 222.49302]"
186,"[89.9676649, 81.8083472]"
187,"[140.90504, 123.202866]"
188,"[94.4849816, 138.896021]"
189,"[201.511295, 119.082274]"
190,"[89.0062856, 89.4386797]"
191,"[72.3692639, 81.6688618]"
192,"[63.6260641, 117.847139]"
193,"[81.6710948, 80.6896003]"
194,"[48.841376, 48.46408]"
195,"[40.8858517, 42.2361664]"
196,"[142.02453, 145.288097]"
197,"[116.422446, 210.890187]"
198,"[94.1925401, 64.1210718]"
199,"[61.1896564, 51.1218419]"
200,"[60.965289, 67.5584807]"
201,"[82.2365334, 72.2877598]"
202,"[53.1549959, 51.0528228]"
203,"[167.523215, 130.438401]"
204,"[56.6682013, 52.2132666]"
205,"[99.5862971, 92.9355543]"
206,"[61.3773317, 90.1400324]"
207,"[118.82699, 129.890851]"
208,"[122.461469, 128.957646]"
209,"[93.3150038, 91.5774556]"
210,"[82.520605, 90.0302226]"
211,"[196.208746, 105.823531]"
212,"[94.4341878, 65.145403]"
213,"[70.3919323, 63.1937011]"
214,"[56.6996913, 54.5068622]"
215,"[66.371749, 62.7404153]"
216,"[232.026808, 133.528166]"
217,"[108.559709, 87.9196082]"
218,"[84.8757223, 97.3519673]"
219,"[80.8981358, 71.0468156]"
220,"[107.947642, 71.7256495]"
221,"[94.2048741, 77.3719663]"
222,"[49.7235242, 55.4509011]"
223,"[63.9113863, 67.2169982]"
224,"[129.974879, 123.964279]"
225,"[65.3189068, 55.4444851]"
226,"[151.853126, 252.517476]"
227,"[264.312755, 143.006461]"
228,"[98.7242318, 108.679283]"
229,"[121.229062, 136.246506]"
230,"[53.9823146, 53.7379351]"
231,"[71.1239742, 64.2764858]"
232,"[151.611812, 139.136128]"
233,"[161.094763, 220.884438]"
234,"[126.652198, 121.325847]"
235,"[123.878481, 128.810994]"
236,"[67.2303328, 91.2659613]"
237,"[58.8365454, 60.6489094]"
238,"[93.0841724, 103.37021]"
239,"[64.3921181, 62.6576031]"
240,"[64.8970009, 110.59988]"
241,"[55.7221946, 64.4371965]"
242,"[95.8038729, 133.314351]"
243,"[50.3007753, 58.4383499]"
244,"[44.7929953, 41.9399053]"
245,"[85.9251248, 81.2446141]"
246,"[138.899164, 152.80195]"
247,"[82.6032071, 83.130544]"
248,"[52.3630496, 52.5401766]"
249,"[43.5804146, 45.6686306]"
250,"[102.846004, 94.3311049]"
251,"[73.4069925, 66.3716405]"
252,"[124.700117, 104.190756]"
253,"[67.969633, 71.3838449]"
254,"[107.547036, 113.410817]"
255,"[54.9333921, 59.41539]"
256,"[129.687262, 112.681603]"
257,"[54.7507906, 51.6078287]"
258,"[80.9933173, 106.920174]"
259,"[148.119296, 157.641657]"
260,"[93.227547, 92.1289298]"
261,"[65.1857851, 67.8271599]"
262,"[83.6355098, 83.2959256]"
263,"[159.282831, 196.959432]"
264,"[87.3898315, 91.9248666]"
265,"[125.83346, 112.696738]"
266,"[63.7607594, 71.9406602]"
267,"[99.6161586, 61.1231674]"
268,"[75.4815396, 69.4456274]"
269,"[54.1900423, 51.7392124]"
270,"[57.2324009, 57.5841848]"
271,"[111.019493, 103.039473]"
272,"[84.319676, 51.5088929]"
273,"[66.9760377, 75.8204677]"
274,"[54.932713, 55.6993428]"
275,"[75.6847164, 82.9880942]"
276,"[64.3526499, 57.5795003]"
277,"[63.9021567, 75.2551522]"
278,"[82.4454864, 53.5994584]"
279,"[55.7322016, 57.6824894]"
280,"[86.3456545, 83.140287]"
